Greedy,Greedy_1,Greedy_5,BBB_Adam_001,BBB_Adam_0001,BBB_RMS_001,BBB_RMS_0001
465.0,445.0,1255.0,570.0,720.0,540.0,1255.0
470.0,450.0,1260.0,570.0,720.0,540.0,1260.0
470.0,450.0,1260.0,570.0,720.0,540.0,1260.0
470.0,450.0,1260.0,570.0,720.0,540.0,1260.0
470.0,450.0,1265.0,570.0,720.0,540.0,1265.0
470.0,450.0,1270.0,570.0,720.0,540.0,1270.0
470.0,450.0,1270.0,570.0,720.0,540.0,1270.0
470.0,450.0,1275.0,570.0,720.0,540.0,1275.0
475.0,455.0,1280.0,570.0,720.0,540.0,1280.0
475.0,460.0,1285.0,570.0,720.0,540.0,1285.0
475.0,460.0,1285.0,565.0,720.0,540.0,1285.0
475.0,460.0,1290.0,565.0,720.0,540.0,1290.0
475.0,460.0,1295.0,565.0,720.0,540.0,1295.0
475.0,460.0,1295.0,565.0,720.0,540.0,1295.0
475.0,460.0,1295.0,565.0,720.0,540.0,1295.0
475.0,460.0,1295.0,565.0,720.0,540.0,1295.0
475.0,460.0,1295.0,565.0,720.0,535.0,1295.0
475.0,460.0,1295.0,565.0,720.0,530.0,1295.0
475.0,460.0,1300.0,565.0,720.0,530.0,1300.0
475.0,460.0,1305.0,565.0,720.0,530.0,1305.0
475.0,460.0,1310.0,565.0,720.0,530.0,1310.0
475.0,460.0,1315.0,565.0,725.0,530.0,1315.0
