,1% Greedy,5% Greedy,BBB,Greedy
812,1495,1765,2115,1815
813,1495,1765,2120,1815
814,1495,1765,2125,1815
815,1495,1765,2125,1815
816,1500,1770,2130,1820
817,1500,1770,2130,1820
818,1500,1770,2130,1820
819,1500,1770,2130,1820
820,1500,1770,2135,1825
821,1500,1770,2135,1825
822,1500,1770,2135,1825
823,1500,1770,2135,1825
824,1500,1770,2140,1830
825,1500,1770,2145,1830
826,1500,1770,2150,1830
827,1500,1770,2150,1830
828,1505,1775,2155,1830
829,1505,1775,2160,1830
830,1505,1775,2165,1830
831,1505,1775,2165,1830
832,1505,1775,2165,1830
833,1505,1775,2170,1830
834,1505,1775,2170,1830
835,1505,1775,2175,1830
836,1505,1775,2175,1830
837,1505,1775,2175,1830
838,1505,1775,2175,1830
839,1505,1775,2175,1830
840,1510,1780,2180,1835
841,1510,1780,2180,1835
842,1510,1780,2180,1835
843,1510,1780,2185,1840
844,1510,1780,2190,1840
845,1510,1780,2195,1840
846,1510,1780,2195,1840
847,1510,1780,2195,1840
848,1510,1780,2200,1840
849,1510,1780,2205,1840
850,1510,1780,2210,1840
851,1510,1780,2215,1845
852,1510,1780,2215,1845
853,1510,1780,2215,1845
854,1510,1780,2215,1845
855,1510,1780,2220,1845
856,1510,1780,2225,1850
857,1510,1780,2225,1850
858,1510,1780,2230,1855
859,1515,1785,2235,1855
860,1515,1785,2235,1855
861,1515,1785,2235,1855
862,1515,1785,2240,1855
863,1515,1785,2245,1860
864,1515,1785,2250,1860
865,1520,1785,2255,1865
866,1520,1785,2255,1865
867,1520,1785,2255,1865
868,1520,1785,2260,1865
869,1520,1785,2265,1865
870,1520,1785,2265,1865
871,1520,1785,2270,1865
872,1520,1785,2270,1865
873,1520,1785,2270,1865
874,1520,1785,2275,1865
875,1520,1785,2275,1865
876,1520,1785,2280,1865
877,1520,1785,2285,1865
878,1525,1785,2290,1870
879,1530,1785,2295,1875
880,1530,1785,2295,1875
881,1530,1785,2300,1880
882,1530,1785,2300,1880
883,1530,1785,2300,1880
884,1530,1785,2305,1880
885,1530,1785,2305,1880
886,1530,1790,2310,1880
887,1530,1790,2315,1880
888,1530,1790,2315,1880
889,1530,1790,2315,1880
890,1530,1790,2315,1880
891,1530,1790,2315,1880
892,1530,1790,2315,1880
893,1530,1795,2320,1885
894,1530,1795,2325,1885
895,1530,1795,2330,1885
896,1530,1795,2335,1885
897,1530,1795,2340,1885
898,1530,1795,2345,1890
899,1530,1795,2345,1890
900,1530,1795,2345,1890
901,1535,1800,2350,1895
902,1535,1800,2350,1895
903,1540,1805,2355,1900
904,1540,1805,2360,1900
905,1540,1805,2360,1900
906,1540,1805,2360,1900
907,1540,1805,2365,1900
908,1540,1805,2370,1900
909,1540,1805,2375,1900
910,1540,1805,2375,1900
911,1540,1805,2380,1900
912,1540,1805,2385,1900
913,1540,1805,2390,1900
914,1540,1805,2395,1900
915,1540,1805,2400,1900
916,1540,1805,2405,1900
917,1540,1805,2405,1900
918,1545,1805,2410,1905
919,1545,1805,2410,1905
920,1545,1805,2410,1905
921,1545,1805,2415,1905
922,1545,1805,2415,1905
923,1550,1810,2420,1910
924,1550,1810,2420,1910
925,1550,1810,2420,1910
926,1550,1810,2420,1910
927,1550,1810,2425,1910
928,1550,1810,2425,1910
929,1550,1810,2430,1910
930,1550,1810,2430,1910
931,1555,1815,2435,1915
932,1555,1815,2435,1915
933,1555,1815,2435,1915
934,1555,1810,2435,1915
935,1555,1810,2435,1915
936,1555,1845,2435,1915
937,1555,1845,2440,1915
938,1560,1850,2445,1920
939,1565,1855,2450,1925
940,1565,1855,2455,1925
941,1565,1855,2460,1925
942,1565,1855,2460,1925
943,1565,1855,2460,1925
944,1565,1855,2460,1925
945,1565,1855,2460,1925
946,1565,1855,2465,1925
947,1565,1855,2470,1925
948,1565,1855,2475,1925
949,1570,1860,2480,1930
950,1570,1860,2485,1930
951,1570,1860,2485,1930
952,1570,1860,2490,1930
953,1570,1860,2490,1930
954,1570,1860,2490,1930
955,1570,1860,2490,1930
956,1570,1860,2490,1930
957,1570,1860,2490,1930
958,1570,1860,2495,1930
959,1570,1860,2495,1930
960,1570,1860,2500,1935
961,1570,1860,2505,1935
962,1570,1860,2510,1940
963,1570,1860,2515,1940
964,1570,1860,2515,1940
965,1570,1860,2515,1940
966,1570,1860,2515,1940
967,1570,1860,2520,1940
968,1570,1860,2520,1940
969,1570,1860,2520,1940
970,1570,1860,2525,1940
971,1570,1860,2525,1940
972,1570,1860,2530,1940
973,1575,1865,2535,1945
974,1575,1865,2535,1945
975,1575,1865,2535,1945
976,1575,1865,2535,1945
977,1580,1870,2540,1945
978,1580,1870,2540,1945
979,1580,1870,2545,1945
980,1580,1870,2545,1945
981,1580,1875,2550,1945
982,1580,1875,2550,1945
983,1580,1875,2555,1945
984,1580,1875,2555,1945
985,1580,1875,2560,1945
986,1580,1875,2560,1945
987,1580,1875,2565,1945
988,1580,1875,2565,1945
989,1585,1880,2570,1950
990,1585,1880,2575,1950
991,1585,1880,2580,1950
992,1585,1880,2585,1950
993,1585,1880,2585,1950
994,1585,1885,2590,1950
995,1585,1885,2595,1950
996,1585,1885,2595,1950
997,1585,1885,2600,1950
998,1585,1885,2600,1950
999,1585,1885,2600,1950
1000,1585,1880,2600,1950
1001,1585,1880,2600,1950
1002,1585,1880,2605,1950
1003,1585,1880,2610,1950
1004,1585,1880,2610,1950
1005,1585,1880,2610,1950
1006,1585,1880,2615,1955
1007,1585,1880,2615,1955
1008,1590,1885,2620,1960
1009,1590,1885,2625,1960
1010,1590,1885,2630,1960
1011,1590,1885,2630,1960
1012,1590,1885,2630,1960
1013,1590,1885,2630,1960
1014,1590,1885,2630,1960
1015,1590,1885,2630,1960
1016,1590,1885,2630,1960
1017,1590,1885,2630,1960
1018,1590,1885,2635,1960
1019,1590,1885,2640,1960
1020,1590,1885,2640,1960
1021,1595,1885,2645,1965
1022,1595,1885,2645,1965
1023,1595,1885,2650,1970
1024,1595,1885,2655,1970
1025,1595,1920,2655,1970
1026,1595,1920,2660,1970
1027,1595,1920,2660,1970
1028,1595,1920,2660,1970
1029,1595,1920,2660,1970
1030,1595,1920,2665,1970
1031,1595,1920,2670,1970
1032,1595,1915,2670,1970
1033,1595,1915,2675,1970
1034,1595,1915,2680,1970
1035,1595,1915,2680,1970
1036,1595,1915,2680,1970
1037,1600,1920,2685,1970
1038,1600,1920,2690,1970
1039,1605,1920,2695,1970
1040,1605,1920,2700,1970
1041,1605,1920,2700,1970
1042,1605,1920,2700,1970
1043,1605,1920,2705,1970
1044,1605,1920,2705,1970
1045,1605,1920,2705,1970
1046,1605,1920,2705,1970
1047,1605,1920,2705,1970
1048,1605,1920,2705,1970
1049,1605,1920,2705,1970
1050,1605,1920,2705,1970
1051,1610,1920,2710,1975
1052,1615,1925,2715,1980
1053,1615,1925,2720,1980
1054,1615,1925,2725,1980
1055,1615,1925,2730,1980
1056,1615,1925,2735,1980
1057,1615,1925,2735,1980
1058,1620,1930,2740,1985
1059,1620,1930,2745,1985
1060,1625,1935,2750,1990
1061,1625,1935,2750,1990
1062,1625,1935,2750,1990
1063,1625,1935,2750,1990
1064,1625,1935,2755,1990
1065,1630,1940,2760,1995
1066,1630,1940,2760,1995
1067,1630,1940,2760,1995
1068,1635,1945,2765,2000
1069,1640,1950,2770,2005
1070,1640,1950,2770,2005
1071,1640,1950,2770,2005
1072,1640,1950,2775,2005
1073,1640,1950,2780,2005
1074,1645,1955,2785,2010
1075,1650,1960,2790,2015
1076,1650,1960,2795,2015
1077,1650,1960,2800,2015
1078,1655,1965,2805,2015
1079,1655,1965,2810,2015
1080,1655,1965,2815,2015
1081,1655,1965,2820,2015
1082,1655,1965,2825,2015
1083,1655,1965,2825,2015
1084,1655,1965,2830,2020
1085,1655,1965,2830,2020
