	Steps	Greedy	1% Greedy	5% Greedy	BBB		 BBB (All Steps)
Step	5180	5460	5850	6155	1640		575
Step	5190	5460	5850	6155	1640		580
Step	5200	5460	5850	6165	1645		580
Step	5210	5460	5850	6170	1645		580
Step	5220	5460	5850	6170	1645		580
Step	5230	5460	5870	6180	1645		580
Step	5240	5455	5910	6190	1645		580
Step	5250	5455	5910	6195	1650		580
Step	5260	5495	5920	6210	1650		580
Step	5270	5495	5930	6225	1650		580
Step	5280	5500	5935	6230	1650		580
Step	5290	5535	5935	6240	1685		580
Step	5300	5535	5945	6255	1685		580
Step	5310	5535	5945	6255	1685		580
Step	5320	5535	5945	6255	1685		580
Step	5330	5535	5945	6290	1685		580
Step	5340	5525	5940	6325	1685		580
Step	5350	5525	5940	6330	1685		580
Step	5360	5525	5940	6330	1685		580
Step	5370	5530	5945	6375	1685		580
Step	5380	5530	5950	6415	1680		580
Step	5390	5530	5955	6420	1715		580
Step	5400	5530	5955	6425	1710		580
Step	5410	5530	5955	6425	1710		580
Step	5420	5535	5960	6430	1710		580
Step	5430	5540	5965	6445	1780		580
Step	5440	5540	5965	6450	1780		580
Step	5450	5535	6000	6455	1780		580
Step	5460	5535	6035	6460	1785		580
Step	5470	5535	6045	6470	1790		580
Step	5480	5570	6045	6505	1790		580
Step	5490	5570	6045	6505	1790		580
Step	5500	5570	6050	6510	1795		580
Step	5510	5570	6050	6515	1800		580
Step	5520	5570	6055	6555	1800		580
Step	5530	5565	6055	6555	1800		580
Step	5540	5570	6060	6560	1805		580
Step	5550	5570	6060	6560	1805		580
Step	5560	5575	6065	6565	1805		580
Step	5570	5610	6065	6565	1805		580
Step	5580	5610	6065	6565	1805		580
Step	5590	5610	6070	6570	1805		580
Step	5600	5610	6070	6570	1805		580
Step	5610	5615	6080	6580	1805		580
Step	5620	5615	6090	6590	1805		580
Step	5630	5615	6090	6595	1805		580
Step	5640	5615	6105	6610	1805		580
Step	5650	5615	6105	6645	1805		580
Step	5660	5615	6105	6645	1805		580
Step	5670	5620	6110	6650	1805		580
Step	5680	5625	6115	6655	1805		580
Step	5690	5625	6115	6655	1805		580
Step	5700	5625	6115	6655	1805		580
Step	5710	5625	6115	6695	1805		580
Step	5720	5625	6110	6695	1810		580
Step	5730	5620	6110	6730	1810		580
Step	5740	5615	6110	6730	1810		580
Step	5750	5650	6110	6725	1815		580
Step	5760	5650	6125	6745	1815		580
Step	5770	5685	6125	6750	1815		580
Step	5780	5685	6125	6750	1815		580
Step	5790	5685	6130	6750	1815		580
Step	5800	5715	6165	6750	1815		580
Step	5810	5715	6170	6760	1820		580
Step	5820	5715	6170	6765	1855		580
Step	5830	5720	6175	6770	1855		580
Step	5840	5720	6180	6775	1850		580
Step	5850	5720	6190	6780	1850		580
Step	5860	5765	6200	6795	1850		615
Step	5870	5765	6205	6800	1845		615
Step	5880	5765	6205	6800	1845		615
Step	5890	5770	6210	6805	1880		615
Step	5900	5770	6215	6820	1880		615
Step	5910	5775	6220	6825	1880		615
Step	5920	5780	6235	6845	1880		620
Step	5930	5780	6235	6850	1880		620
Step	5940	5780	6240	6855	1880		620
Step	5950	5780	6240	6855	1880		620
Step	5960	5780	6240	6890	1880		620
Step	5970	5780	6245	6900	1885		620
Step	5980	5780	6245	6900	1885		620
Step	5990	5780	6255	6910	1885		620
Step	6000	5780	6255	6910	1885		620
Step	6010	5780	6255	6910	1885		620
Step	6020	5780	6255	6920	1880		620
Step	6030	5780	6260	6930	1880		620
Step	6040	5780	6265	6945	1885		620
Step	6050	5790	6275	6970	1920		620
Step	6060	5795	6285	6980	1955		620
Step	6070	5795	6285	6980	1960		620
Step	6080	5795	6290	6980	1960		620
Step	6090	5790	6290	6980	1960		620
Step	6100	5790	6295	6985	1960		620
Step	6110	5790	6295	6985	1960		620
Step	6120	5790	6300	6995	1965		620
Step	6130	5795	6305	7000	1965		620
Step	6140	5795	6305	7000	1965		620
Step	6150	5795	6310	7010	1965		620
Step	6160	5795	6320	7025	1965		620
Step	6170	5800	6325	7030	1965		620
Step	6180	5800	6325	7030	1965		620
Step	6190	5800	6325	7040	1965		620
Step	6200	5800	6330	7045	1965		620
Step	6210	5800	6330	7045	1970		620
Step	6220	5800	6330	7045	1970		620
Step	6230	5800	6330	7050	1970		620
Step	6240	5800	6330	7060	1970		620
Step	6250	5805	6340	7055	1970		620
Step	6260	5805	6340	7055	1970		620
Step	6270	5810	6350	7065	1975		620
Step	6280	5815	6355	7075	1975		620
Step	6290	5815	6355	7075	1975		620
Step	6300	5820	6360	7085	1975		620
Step	6310	5820	6365	7090	1975		620
Step	6320	5820	6365	7130	1975		620
Step	6330	5815	6365	7130	1975		620
Step	6340	5820	6365	7135	1975		620
Step	6350	5825	6370	7135	1975		620
Step	6360	5825	6370	7140	1980		620
Step	6370	5830	6410	7145	1980		620
Step	6380	5830	6410	7180	1980		620
Step	6390	5840	6420	7190	1980		620
Step	6400	5845	6430	7200	2015		620
Step	6410	5845	6430	7200	2015		625
Step	6420	5850	6435	7205	2015		625
Step	6430	5850	6440	7210	2015		625
Step	6440	5850	6445	7225	2015		625
Step	6450	5850	6450	7230	2015		625
Step	6460	5855	6455	7235	2020		625
Step	6470	5855	6455	7235	2020		625
Step	6480	5855	6460	7240	2020		625
Step	6490	5855	6465	7285	2020		625
Step	6500	5860	6470	7295	2020		625
Step	6510	5860	6470	7295	2020		625
Step	6520	5865	6475	7305	2025		625
Step	6530	5865	6475	7315	2020		625
Step	6540	5865	6475	7320	2025		625
Step	6550	5865	6480	7325	2025		625
Step	6560	5870	6485	7335	2020		625
Step	6570	5870	6490	7345	2020		625
Step	6580	5870	6490	7350	2020		625
Step	6590	5870	6490	7350	2020		625
Step	6600	5880	6495	7365	2025		625
Step	6610	5885	6500	7375	2025		625
Step	6620	5885	6500	7380	2025		625
Step	6630	5885	6500	7390	2025		625
Step	6640	5885	6500	7395	2025		625
Step	6650	5890	6505	7395	2025		625
Step	6660	5890	6505	7390	2025		625
Step	6670	5890	6505	7390	2060		625
Step	6680	5895	6505	7395	2060		630
Step	6690	5895	6505	7395	2060		630
Step	6700	5900	6510	7410	2060		630
Step	6710	5905	6550	7415	2060		630
Step	6720	5910	6595	7430	2060		630
Step	6730	5910	6595	7450	2065		630
Step	6740	5915	6600	7455	2065		635
Step	6750	5915	6600	7455	2065		635
Step	6760	5915	6595	7455	2065		635
Step	6770	5920	6600	7465	2065		635
Step	6780	5920	6600	7465	2065		635
Step	6790	5925	6600	7470	2065		635
Step	6800	5925	6600	7480	2065		635
Step	6810	5925	6600	7480	2065		635
Step	6820	5930	6610	7500	2065		635
Step	6830	5940	6625	7515	2065		635
Step	6840	5940	6625	7515	2065		635
Step	6850	5940	6625	7515	2065		635
Step	6860	5940	6630	7530	2065		635
Step	6870	5940	6630	7535	2065		635
Step	6880	5940	6625	7535	2065		635
Step	6890	5940	6625	7540	2065		635
Step	6900	5940	6625	7545	2065		635
Step	6910	5940	6625	7545	2065		635
Step	6920	5945	6635	7555	2065		635
Step	6930	5955	6650	7570	2065		635
