,5%Greedy_1 0.00001,5%Greedy_2 0.00001,5%Greedy_3 0.00001,5%Greedy_4 0.00001
973,1745,1450,1405,1175
974,1745,1450,1405,1175
975,1745,1450,1405,1175
976,1745,1450,1405,1180
977,1745,1450,1405,1180
978,1745,1485,1405,1180
979,1745,1485,1405,1175
980,1745,1485,1405,1175
981,1745,1485,1405,1175
982,1745,1485,1405,1175
983,1745,1485,1405,1175
984,1745,1520,1405,1175
985,1745,1520,1405,1175
986,1745,1520,1405,1175
987,1745,1520,1405,1175
988,1745,1520,1405,1175
989,1745,1520,1405,1175
990,1745,1520,1405,1175
991,1745,1520,1400,1175
992,1745,1520,1400,1175
993,1745,1520,1400,1170
994,1745,1520,1400,1170
995,1745,1520,1400,1170
996,1745,1520,1435,1170
997,1745,1520,1435,1165
998,1745,1520,1435,1165
999,1745,1520,1435,1165
1000,1745,1520,1435,1165
1001,1745,1520,1435,1165
1002,1745,1520,1435,1165
1003,1745,1520,1435,1165
1004,1745,1520,1435,1165
1005,1745,1520,1435,1165
1006,1745,1520,1430,1165
1007,1745,1555,1430,1165
1008,1745,1555,1430,1170
1009,1745,1555,1430,1170
1010,1745,1555,1430,1170
1011,1745,1555,1430,1170
1012,1745,1555,1430,1165
1013,1745,1550,1430,1165
1014,1750,1550,1430,1165
1015,1755,1555,1430,1165
1016,1755,1555,1430,1165
1017,1755,1555,1430,1165
1018,1755,1555,1430,1165
1019,1755,1555,1430,1165
1020,1755,1555,1430,1165
1021,1760,1560,1430,1165
1022,1760,1560,1430,1165
1023,1760,1560,1430,1165
1024,1760,1560,1430,1165
1025,1795,1560,1430,1165
1026,1795,1560,1430,1165
1027,1800,1560,1430,1165
1028,1800,1565,1430,1165
1029,1800,1565,1430,1165
1030,1800,1565,1465,1165
1031,1800,1565,1465,1200
1032,1800,1565,1465,1200
1033,1800,1565,1465,1200
1034,1800,1565,1465,1200
1035,1800,1565,1470,1200
1036,1800,1565,1470,1205
1037,1800,1565,1470,1205
1038,1800,1565,1470,1240
1039,1800,1565,1470,1240
1040,1800,1565,1470,1240
1041,1800,1565,1470,1240
1042,1800,1565,1470,1240
1043,1800,1600,1470,1240
1044,1800,1600,1470,1240
1045,1800,1600,1470,1240
1046,1835,1600,1470,1240
1047,1835,1600,1470,1275
1048,1835,1600,1470,1275
1049,1835,1600,1470,1275
1050,1835,1600,1470,1275
1051,1830,1635,1470,1275
1052,1830,1635,1470,1275
1053,1830,1635,1470,1275
1054,1830,1635,1470,1275
