,1% Greedy,5 %Greedy,Bayes By BackProp,Greedy
994,950,780,1985,1015
995,950,780,1990,1015
996,950,780,1995,1015
997,950,780,2000,1015
998,985,780,2000,1015
999,985,780,2005,1015
1000,985,780,2005,1015
1001,985,780,2005,1015
1002,985,780,2005,1015
1003,985,780,2005,1015
1004,985,780,2005,1015
1005,985,780,2010,1015
1006,985,780,2010,1015
1007,985,780,2015,1015
1008,985,780,2015,1015
1009,985,780,2020,1015
1010,985,775,2020,1015
1011,985,775,2020,1015
1012,985,775,2025,1015
1013,985,775,2025,1015
1014,985,775,2025,1015
1015,985,775,2025,1015
1016,985,775,2025,1015
1017,985,770,2025,1015
1018,985,770,2025,1015
1019,985,770,2025,1015
1020,985,770,2025,1015
1021,985,775,2025,1015
1022,985,775,2025,1015
1023,985,775,2030,1015
1024,985,775,2035,1015
1025,985,775,2035,1015
1026,985,775,2040,1015
1027,985,775,2040,1015
1028,985,775,2040,1015
1029,985,775,2040,1015
1030,985,775,2045,1015
1031,985,775,2045,1015
1032,985,775,2045,1015
1033,985,775,2045,1015
1034,985,775,2050,1015
1035,985,775,2050,1015
1036,985,775,2050,1015
1037,985,775,2050,1015
1038,985,775,2050,1015
1039,985,775,2050,1015
1040,985,775,2050,1010
1041,985,775,2055,1010
1042,985,775,2060,1010
1043,985,775,2060,1010
1044,985,775,2060,1010
1045,985,775,2060,1010
1046,985,775,2060,1010
1047,985,775,2060,1010
1048,985,775,2065,1010
1049,985,775,2065,1010
1050,985,775,2065,1010
1051,985,810,2065,1010
1052,985,810,2065,1010
1053,985,810,2070,1010
1054,985,815,2075,1010
1055,985,815,2075,1010
1056,985,815,2075,1010
1057,985,815,2075,1010
1058,985,815,2080,1010
1059,985,815,2080,1010
1060,985,815,2085,1010
1061,985,815,2085,1010
1062,985,815,2085,1010
1063,985,815,2085,1010
1064,985,815,2085,1010
1065,985,815,2085,1010
1066,985,815,2085,1010
1067,985,815,2090,1010
1068,985,810,2090,1010
1069,985,810,2095,1010
1070,985,810,2095,1010
1071,985,810,2100,1010
1072,985,810,2100,1010
1073,985,810,2100,1010
1074,985,810,2100,1010
1075,985,810,2105,1010
1076,985,810,2105,1010
1077,985,810,2105,1010
1078,985,810,2105,1010
1079,985,810,2110,1010
1080,985,810,2115,1010
1081,985,810,2115,1010
1082,985,810,2115,1010
1083,985,810,2115,1010
1084,985,810,2115,1010
1085,985,815,2120,1015
1086,985,815,2120,1015
1087,985,815,2120,1015
1088,985,815,2125,1015
1089,985,815,2125,1015
1090,985,815,2125,1015
1091,985,815,2130,1015
1092,985,815,2130,1015
1093,985,815,2130,1015
1094,985,815,2130,1015
1095,985,815,2135,1015
1096,985,815,2135,1015
1097,985,820,2135,1015
1098,985,820,2135,1015
1099,985,820,2140,1015
1100,985,820,2140,1015
1101,985,820,2140,1015
1102,985,820,2140,1015
1103,985,820,2140,1015
1104,985,820,2140,1015
1105,985,820,2140,1015
1106,985,820,2140,1015
1107,985,820,2140,1015
1108,985,820,2140,1015
1109,985,820,2140,1015
1110,985,820,2140,1015
1111,985,820,2145,1015
1112,985,820,2145,1015
1113,985,820,2150,1015
1114,985,820,2150,1015
1115,985,820,2150,1015
1116,985,820,2150,1015
1117,985,825,2150,1015
1118,985,825,2150,1015
1119,985,825,2150,1015
1120,985,825,2150,1015
1121,985,825,2155,1015
1122,985,825,2155,1015
1123,985,830,2160,1015
1124,980,830,2160,1015
1125,980,830,2160,1015
1126,980,830,2160,1015
1127,980,830,2165,1015
1128,980,830,2165,1015
1129,980,830,2165,1015
1130,980,830,2165,1015
1131,980,830,2165,1015
1132,980,825,2200,1015
